Date;Vitesse du vent à 100m (m/s);Rayonnement solaire global (W/m2)
2016-01-01T04:00:00;3.0;0.0
2016-01-01T07:00:00;3.2;0.0
2016-01-01T10:00:00;3.2;30.39
2016-01-01T13:00:00;3.2;222.52
2016-01-01T16:00:00;2.96;174.46
2016-01-01T19:00:00;3.38;8.69
2016-01-01T22:00:00;3.95;0.0
2016-01-02T01:00:00;3.9;0.0
2016-01-02T04:00:00;3.7;0.0
2016-01-02T07:00:00;3.15;0.0
2016-01-02T10:00:00;3.17;9.36
2016-01-02T13:00:00;3.18;97.09
2016-01-02T16:00:00;2.92;98.05
2016-01-02T19:00:00;3.12;8.06
2016-01-02T22:00:00;3.37;0.0
2016-01-03T01:00:00;3.71;0.0
2016-01-03T04:00:00;3.5;0.0
2016-01-03T07:00:00;3.42;0.0
2016-01-03T10:00:00;3.41;29.68
2016-01-03T13:00:00;3.15;196.68
2016-01-03T16:00:00;3.07;142.8
2016-01-03T19:00:00;3.41;7.32
2016-01-03T22:00:00;3.69;0.0
2016-01-04T01:00:00;3.71;0.0
2016-01-04T04:00:00;3.27;0.0
2016-01-04T07:00:00;2.9;0.0
2016-01-04T10:00:00;3.32;24.01
2016-01-04T13:00:00;3.15;186.0
2016-01-04T16:00:00;3.3;160.94
2016-01-04T19:00:00;3.33;8.9
2016-01-04T22:00:00;3.57;0.0
2016-01-05T01:00:00;3.49;0.0
2016-01-05T04:00:00;3.04;0.0
2016-01-05T07:00:00;3.08;0.0
2016-01-05T10:00:00;2.93;31.37
2016-01-05T13:00:00;3.0;242.73
2016-01-05T16:00:00;2.72;210.8
2016-01-05T19:00:00;2.99;12.97
2016-01-05T22:00:00;3.2;0.0
2016-01-06T01:00:00;3.06;0.0
2016-01-06T04:00:00;3.15;0.0
2016-01-06T07:00:00;3.09;0.0
2016-01-06T10:00:00;3.54;19.24
2016-01-06T13:00:00;3.2;147.24
2016-01-06T16:00:00;2.97;137.2
2016-01-06T19:00:00;3.09;10.92
2016-01-06T22:00:00;3.26;0.0
2016-01-07T01:00:00;3.14;0.0
2016-01-07T04:00:00;3.3;0.0
